
0 0 300 10 0 0 0
0 1 300 10 0 0 0
0 2 300 10 0 0 0
0 3 376 10 1 0 0
0 4 376 10 2 0 0
0 5 376 10 3 0 0
0 6 376 10 7 0 0
0 7 376 10 13 1 0
0 8 376 10 32 5 2
0 9 376 10 73 23 7
0 10 376 10 190 96 31
0 11 376 10 488 375 118
0 12 376 20 1350 1465 426
0 13 384 50 3741 5621 1569
0 14 376 200 10765 21574 5668
0 15 376 950 31311 82615 20680
0 16 380 7200 92949 318511 75605
0 17 380 49340 278840 1233077 278619
0 18 380 404490 847511 4815637 1033373
0 19 788 5467540 2599071 18947661 3862403
0 20 908 60882210 8044399 75244868 14544053

1 0 300 10 0 0 0
1 1 376 10 2 0 0
1 2 376 10 5 0 0
1 3 376 10 11 0 0
1 4 376 10 30 0 0
1 5 376 10 76 5 0
1 6 376 10 221 31 11
1 7 376 10 625 161 51
1 8 380 20 1883 755 267
1 9 380 50 5691 3339 1132
1 10 380 200 17678 14432 4787
1 11 380 970 55401 61010 19615
1 12 380 7590 176324 255954 79570
1 13 380 49550 565668 1066724 320732
1 14 380 545380 1832119 4443669 1289280
1 15 380 8163860 5973483 18514536 5173188
1 16 380 107390520 19603506 77388674 20767345

2 0 376 10 7 0 0
2 1 376 10 16 0 0
2 2 376 10 60 0 0
2 3 376 10 191 7 1
2 4 376 10 683 68 31
2 5 384 20 2325 438 176
2 6 384 60 8229 2487 1090
2 7 384 260 28791 12745 5393
2 8 632 1610 102009 62850 26554
2 9 384 12760 360823 298503 123720
2 10 396 149550 1282008 1393875 566339
2 11 1948 1925270 4556692 6409588 2541898
2 12 1152 36401150 16226467 29247932 11277066

3 0 376 10 42 0 0
3 1 376 10 181 5 1
3 2 376 10 918 75 64
3 3 444 30 4041 609 424
3 4 444 130 17796 4356 3047
3 5 444 880 75042 26661 17929
3 6 444 8070 312989 154739 102523
3 7 524 121590 1280752 847549 546199
3 8 1020 1914120 5186595 4508889 2829297
3 9 1052 46569660 20773460 23342948 14200675

4 0 376 10 379 38 70
4 1 384 20 2666 392 545
4 2 508 160 17390 4130 5337
4 3 484 1410 97133 31798 39244
4 4 612 21850 511459 228654 270392
4 5 516 454670 2543211 1496424 1699918
4 6 892 14906950 12199606 9359168 10189979

5 0 384 60 4555 1469 3432
5 1 388 970 47065 17467 38375
5 2 2424 20580 380555 185851 380220
5 3 4552 607600 2575193 1574450 3111364
5 4 4552 36951960 15823018 12294876 23171219

6 0 740 2790 69808 52302 152393
6 1 860 220590 962172 760054 2306032
6 2 8180 21411020 9361688 8929267 26168509

7 0 2432 658610 1281678 2080972 7607665

#8 0 82216 1030343570 27297406 98881970 448905424
